IS_Number,Title,Section,Year_Notified,ICS_Code,Status,Applicable_To,Scope_Description
IS 362-5:2018,Code of practice,Mechanical Engi,2018,92.045,Under Revision,industrial fans,"Applicable to industrial fans manufactured, tested, o"
IS 604-4:2009,Safety requireme,Metallurgical Eng,2009,67.078,Active,steel bars for con,"Applicable to steel bars for concrete manufactured,"
IS 3802-2:2011,Specification for,Medical Equipme,2011,90.019,Under Revision,nebulizers,"Applicable to nebulizers manufactured, tested, or s"
IS 3013-4:2023,Sampling and tes,Electronics and I,2023,96.09,Active,USB cables and,Applicable to USB cables and connectors manufac
IS 1260-3:1990,General requirem,Production and G,1990,60.074,Withdrawn,industrial packag,Applicable to industrial packaging crates manufactu
IS 1904-6:2015,Code of practice,Chemical,2015,37.038,Active,industrial adhesiv,"Applicable to industrial adhesives manufactured, te"
IS 437-3:1998,Specification for,Management and,1998,10.063,Withdrawn,supply chain sec,Applicable to supply chain security management m
IS 4095-4:1999,General requirem,"Petroleum, Coal",1999,73.02,Under Revision,coal and coke,"Applicable to coal and coke manufactured, tested, o"
IS 337-4:1993,Specification for,Mechanical Engi,1993,69.062,Under Revision,gears and gearbo,"Applicable to gears and gearboxes manufactured, t"
IS 839-2:2013,Performance req,Electrotechnical,2013,21.082,Active,electrical wiring a,Applicable to electrical wiring accessories manufac
IS 4126-3:2000,Methods of test f,"Petroleum, Coal",2000,47.078,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 3005-2:2001,Quality requirem,Electronics and I,2001,55.082,Under Revision,electronic point o,Applicable to electronic point of sale terminals man
IS 351-4:2005,Classification an,Mechanical Engi,2005,94.081,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 1747-6:2015,Specification for,Food and Agricu,2015,62.041,Active,wheat flour,"Applicable to wheat flour manufactured, tested, or s"
IS 4096-3:1998,Specification for,"Petroleum, Coal",1998,47.089,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 1236-5:2016,Performance req,Production and G,2016,72.092,Active,quality control sa,Applicable to quality control sampling methods man
IS 381-2:1999,Performance req,Mechanical Engi,1999,18.045,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 2996-3:1996,General requirem,Electronics and I,1996,53.047,Withdrawn,data storage dev,"Applicable to data storage devices manufactured, t"
IS 604-2:1993,Sampling and tes,Metallurgical Eng,1993,25.029,Active,wire ropes,"Applicable to wire ropes manufactured, tested, or s"
IS 822-3:1990,General requirem,Electrotechnical,1990,84.096,Withdrawn,electric geysers,"Applicable to electric geysers manufactured, tested"
IS 4110:2014,Guidelines for co,"Petroleum, Coal",2014,73.061,Under Revision,coal and coke,"Applicable to coal and coke manufactured, tested, o"
IS 3007-6:2019,Methods of test f,Electronics and I,2019,94.013,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 3020:2012,Safety requireme,Electronics and I,2012,96.061,Under Revision,LED lighting prod,"Applicable to LED lighting products manufactured,"
IS 4131-6:2003,Sampling and tes,"Petroleum, Coal",2003,47.046,Withdrawn,biodiesel,"Applicable to biodiesel manufactured, tested, or sol"
IS 593:2000,Guidelines for no,Metallurgical Eng,2000,13.019,Withdrawn,non-ferrous meta,Applicable to non-ferrous metal castings manufactu
IS 580-6:1993,General requirem,Metallurgical Eng,1993,34.037,Active,steel tubes and p,"Applicable to steel tubes and pipes manufactured, t"
IS 1274:2020,Sampling and tes,Production and G,2020,25.06,Under Revision,ladders,"Applicable to ladders manufactured, tested, or sold"
IS 450-4:2017,Code of practice,Management and,2017,63.09,Active,records managem,Applicable to records management practices manu
IS 3944-3:2022,Quality requirem,Textile,2022,91.096,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 1893-5:2008,Classification an,Chemical,2008,29.052,Active,detergents and s,"Applicable to detergents and soaps manufactured,"
IS 439-5:2014,Code of practice,Management and,2014,18.042,Active,environmental m,Applicable to environmental management systems
IS 1276-5:1996,Methods of test f,Production and G,1996,72.086,Active,quality control sa,Applicable to quality control sampling methods man
IS 1262-3:2016,Code of practice,Production and G,2016,99.058,Active,dimensional toler,Applicable to dimensional tolerances manufactured
IS 3654:2018,Specification for,Transport Engine,2018,40.065,Active,automotive tyres,"Applicable to automotive tyres manufactured, teste"
IS 3012-3:1994,Sampling and tes,Electronics and I,1994,94.011,Active,laptop batteries,"Applicable to laptop batteries manufactured, tested"
IS 1835:2000,Methods of test f,Water Resources,2000,59.06,Active,water quality for,Applicable to water quality for drinking purposes ma
IS 4103-4:2019,Code of practice,"Petroleum, Coal",2019,60.088,Active,kerosene,"Applicable to kerosene manufactured, tested, or so"
IS 3931-2:2003,Quality requirem,Textile,2003,32.062,Active,woven fabrics,"Applicable to woven fabrics manufactured, tested, o"
IS 1905:2008,Code of practice,Chemical,2008,21.077,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 1259-6:2007,Code of practice,Production and G,2007,27.093,Under Revision,storage racking s,Applicable to storage racking systems manufacture
IS 807-2:2011,Classification an,Electrotechnical,2011,22.087,Withdrawn,electric motors,"Applicable to electric motors manufactured, tested,"
IS 600-4:2023,Sampling and tes,Metallurgical Eng,2023,25.028,Active,ferro alloys,"Applicable to ferro alloys manufactured, tested, or s"
IS 1241-2:2011,Safety requireme,Production and G,2011,72.034,Active,quality control sa,Applicable to quality control sampling methods man
IS 4041-3:1992,Specification for,Civil Engineering,1992,32.084,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 576-4:2005,Classification an,Metallurgical Eng,2005,93.044,Active,sheet metal prod,"Applicable to sheet metal products manufactured, t"
IS 349-4:2005,Code of practice,Mechanical Engi,2005,59.033,Active,pressure vessels,"Applicable to pressure vessels manufactured, teste"
IS 3658-5:2008,Specification for,Transport Engine,2008,49.06,Withdrawn,vehicle braking s,Applicable to vehicle braking systems manufacture
IS 1906-6:2007,Classification an,Chemical,2007,16.06,Withdrawn,petrochemical int,Applicable to petrochemical intermediates manufac
IS 598-4:2003,Methods of test f,Metallurgical Eng,2003,13.018,Withdrawn,non-ferrous meta,Applicable to non-ferrous metal castings manufactu
IS 818:2022,Quality requirem,Electrotechnical,2022,77.063,Active,household electr,Applicable to household electrical appliances manu
IS 376:2012,Methods of test f,Mechanical Engi,2012,94.087,Active,boilers,"Applicable to boilers manufactured, tested, or sold"
IS 3674-3:2010,Code of practice,Transport Engine,2010,84.016,Active,railway coach fitt,"Applicable to railway coach fittings manufactured, t"
IS 3666-3:2012,General requirem,Transport Engine,2012,25.053,Active,automotive lightin,"Applicable to automotive lighting manufactured, tes"
IS 4038-4:2007,Classification an,Civil Engineering,2007,11.063,Active,cement,"Applicable to cement manufactured, tested, or sold"
IS 363-2:2001,Guidelines for hy,Mechanical Engi,2001,48.072,Withdrawn,hydraulic cylinde,"Applicable to hydraulic cylinders manufactured, tes"
IS 807-4:2013,Specification for,Electrotechnical,2013,96.05,Withdrawn,batteries and cel,"Applicable to batteries and cells manufactured, test"
IS 4084:2004,Performance req,"Petroleum, Coal",2004,36.033,Active,industrial waxes,"Applicable to industrial waxes manufactured, tested"
IS 1827-5:2006,Code of practice,Water Resources,2006,78.078,Active,canal lining meth,"Applicable to canal lining methods manufactured, te"
IS 840-3:2008,Performance req,Electrotechnical,2008,73.013,Active,switches and soc,"Applicable to switches and sockets manufactured, t"
IS 443-5:1992,General requirem,Management and,1992,82.073,Active,social accountab,Applicable to social accountability requirements ma
IS 1779-6:2011,Sampling and tes,Food and Agricu,2011,51.033,Under Revision,infant milk food,"Applicable to infant milk food manufactured, tested"
IS 2977-2:2005,Safety requireme,Electronics and I,2005,30.013,Active,wireless commun,Applicable to wireless communication equipment m
IS 3929-4:2019,General requirem,Textile,2019,36.07,Withdrawn,non-woven fabric,"Applicable to non-woven fabrics manufactured, test"
IS 3687-4:1997,Methods of test f,Transport Engine,1997,34.099,Under Revision,helmets for two w,Applicable to helmets for two wheelers manufacture
IS 4047-5:2000,General requirem,Civil Engineering,2000,81.071,Withdrawn,waterproofing co,Applicable to waterproofing compounds manufactu
IS 1749-6:2001,Classification an,Food and Agricu,2001,51.059,Under Revision,infant milk food,"Applicable to infant milk food manufactured, tested"
IS 4082-2:2013,Safety requireme,Civil Engineering,2013,81.078,Withdrawn,waterproofing co,Applicable to waterproofing compounds manufactu
IS 3822-4:2023,Methods of test f,Medical Equipme,2023,41.012,Under Revision,blood pressure m,Applicable to blood pressure monitors manufacture
IS 4056-6:1993,Code of practice,Civil Engineering,1993,32.01,Under Revision,building lime,"Applicable to building lime manufactured, tested, or"
IS 3816-2:1995,Quality requirem,Medical Equipme,1995,29.039,Active,medical thermom,"Applicable to medical thermometers manufactured,"
IS 3929-6:2001,Classification an,Textile,2001,91.064,Withdrawn,jute products,"Applicable to jute products manufactured, tested, o"
IS 4111-4:1997,Quality requirem,"Petroleum, Coal",1997,35.057,Withdrawn,aviation turbine f,"Applicable to aviation turbine fuel manufactured, te"
IS 338-5:2008,Specification for,Mechanical Engi,2008,48.084,Withdrawn,hydraulic cylinde,"Applicable to hydraulic cylinders manufactured, tes"
IS 582-6:2007,Code of practice,Metallurgical Eng,2007,96.017,Under Revision,pig iron,"Applicable to pig iron manufactured, tested, or sold"
IS 3817-5:1992,Code of practice,Medical Equipme,1992,90.079,Under Revision,nebulizers,"Applicable to nebulizers manufactured, tested, or s"
IS 1929-3:2014,Performance req,Chemical,2014,37.022,Active,industrial adhesiv,"Applicable to industrial adhesives manufactured, te"
IS 1908-4:2019,Code of practice,Chemical,2019,27.058,Active,cosmetics,"Applicable to cosmetics manufactured, tested, or so"
IS 345-4:1993,Classification an,Mechanical Engi,1993,65.093,Active,valves,"Applicable to valves manufactured, tested, or sold i"
IS 3678-3:2010,General requirem,Transport Engine,2010,49.022,Withdrawn,aircraft ground eq,Applicable to aircraft ground equipment manufactur
IS 1920-4:2003,Methods of test f,Chemical,2003,21.093,Under Revision,fertilizers,"Applicable to fertilizers manufactured, tested, or so"
IS 3001-2:2015,Guidelines for se,Electronics and I,2015,18.035,Withdrawn,set top boxes,"Applicable to set top boxes manufactured, tested, o"
IS 4099-6:2001,Code of practice,"Petroleum, Coal",2001,24.068,Active,liquefied petroleu,Applicable to liquefied petroleum gas manufactured
IS 2978:1990,Specification for,Electronics and I,1990,96.055,Active,USB cables and,Applicable to USB cables and connectors manufac
IS 801-6:2003,Safety requireme,Electrotechnical,2003,56.014,Under Revision,power cables,"Applicable to power cables manufactured, tested, o"
IS 337-6:2003,Safety requireme,Mechanical Engi,2003,72.057,Under Revision,welding electrode,"Applicable to welding electrodes manufactured, tes"
IS 341-2:2005,Specification for,Mechanical Engi,2005,18.05,Active,compressors,"Applicable to compressors manufactured, tested, o"
IS 1807:1990,Performance req,Water Resources,1990,98.016,Active,dam safety inspe,"Applicable to dam safety inspection manufactured,"
IS 1936-4:2015,Performance req,Chemical,2015,50.092,Withdrawn,lubricating oils,"Applicable to lubricating oils manufactured, tested,"
IS 798:1998,Specification for,Electrotechnical,1998,77.068,Active,household electr,Applicable to household electrical appliances manu
IS 468-4:2015,Safety requireme,Management and,2015,33.046,Active,quality managem,Applicable to quality management systems manufa
IS 826-5:1992,Code of practice,Electrotechnical,1992,80.024,Under Revision,LED luminaires,"Applicable to LED luminaires manufactured, tested"
IS 4107-2:2015,Code of practice,"Petroleum, Coal",2015,36.048,Active,compressed natu,Applicable to compressed natural gas manufacture
IS 3686:2020,Quality requirem,Transport Engine,2020,65.022,Active,tractor safety sta,Applicable to tractor safety standards manufactured
IS 3801-3:1998,General requirem,Medical Equipme,1998,99.018,Active,disposable syring,"Applicable to disposable syringes manufactured, te"
IS 813-6:2015,General requirem,Electrotechnical,2015,17.074,Active,transformers,"Applicable to transformers manufactured, tested, or"
IS 2977-4:2021,Classification an,Electronics and I,2021,39.043,Active,mobile phone ch,Applicable to mobile phone chargers manufactured
IS 2999-2:1995,Quality requirem,Electronics and I,1995,12.019,Active,information techn,Applicable to information technology equipment saf
IS 3953-6:2011,Sampling and tes,Textile,2011,61.053,Under Revision,silk fabric,"Applicable to silk fabric manufactured, tested, or so"
IS 444-6:2007,General requirem,Management and,2007,17.017,Active,asset manageme,Applicable to asset management systems manufac
IS 374-5:2004,Methods of test f,Mechanical Engi,2004,78.038,Active,conveyor system,"Applicable to conveyor systems manufactured, test"
IS 3794-4:2021,Classification an,Medical Equipme,2021,26.048,Active,surgical instrume,"Applicable to surgical instruments manufactured, te"
